symbol,stock_code
DCBBANK,DCB
CMNL,CHAMET
INSPIRISYS,AFL
GLOBALVECT,GLOVEC
SHYAMTEL,SHYTEL
GTLINFRA,GTLINF
HCC,HINCON
FLUOROCHEM,GUJFLU
NAUKRI,INFEDG
MANOMAY,MANTEX
SHIVAMAUTO,SHIAUT
BBL,BHABIJ
DUCOL,DUCORG
VGL,AARDEN
GESHIP,GESHIP
JETFRE-RE,JETRE1
TORNTPOWER,TORPOW
BAIDFIN,BAILEA
PARSVNATH,PARDE
MANALIPETC,MANPET
SUTLEJTEX,SUTTEX
GREENPANEL,GREEI
FEL,FUTRET
KAMOPAINTS,KAMVEN
LTFOODS,LTOVER
RUCHIRA,RUCPAP
AARTI-RE,AARRE1
SOBHA,SOBDEV
85IIFL25,IIFL33
DONEAR,DONIND
IIFLZC25A,IIFL34
MMFL,MMFORG
875IIFL26A,IIFL35
CLCIND,SPEIND
IIFLZC26A,IIFL36
865IIFL28,IIFL37
9IIFL28A,IIFL38
VENUSREM,VENREM
IIFLZC28A,IIFL39
AARTIPHARM,AARPHA
KUANTUM,KAUPAP
JINDRILL,JINDAD
BANCOINDIA,BANPRO
ARIHANT,ARIFOU
HIRECT,HINREC
CREST,CREVEN
880IREDA29,IREND5
HERIT-RE,HERRE1
PLASTIBLEN,PLASTI
NFL,NATFER
880IREDA34,IREND6
ARISTO,ARIBIO
VISUINTL,VISINT
HINDUNILVR,HINLEV
PRAENG,PRAENG
LIQUID1,KOTN1D
PARACABLES,PARCOM
HBLENGINE,HBLPOW
TANLA,TANSOL
SGBOCT27,SGBT32
JASH,JASENG
PSTL,PYRSAI
CAIRN,CAIIND
ABSLBANETF,BIRBAN
SHREEASHTA,SHRASH
ZEEMEDIA,ZEEMED
925SFIL24A,INND1
AVTNPL,AVTHOM
913SFIL24A,INND2
LUMAXTECH,LUMAAU
948SFIL25A,INND3
VEEDOL,TIDWAT
955SFIL25A,INND4
966SFIL25A,INND5
1030SFIL26,INND6
HINDOILEXP,HINOIL
984SFIL26A,INND7
980SFIL28,INND8
1030SFIL28,INND9
940SFIL28,INN10
985SFIL28,INN11
945IFSL25,INFND1
980IFSL25,INFND2
SARLAPOLY,SARPER
965IFSL26,INFND3
10IFSL26,INFND4
GRCL,GAYRUB
SANGHVIMOV,SANMOV
HINDPETRO,HINPET
WANBURY,WANLIM
SAGCEM,SAGCEM
ASMS,BARLTD
APTECHT,APTLIM
JAIBALAJI,JAIBAL
IGPL,IGPETR
SIYSIL,SIYSIL
PTL,PTLENT
AUTOIND,AUTOIN
NETWORK18,NETW18
GANDHITUBE,GANSPE
91D110523,TQE23B
AGI,HSILIM
OMAXAUTO,OMAAUT
PITTIENG,PITLAM
